127.0.0.1, 2018-05-24 00:11:29, GET, /, HTTP/1.1, 303, 0.014197
127.0.0.1, 2018-05-24 00:11:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.779421
127.0.0.1, 2018-05-24 00:11:30, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000594
127.0.0.1, 2018-05-24 00:11:30, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000855
127.0.0.1, 2018-05-24 00:11:30, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000933
127.0.0.1, 2018-05-24 00:11:30, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000584
127.0.0.1, 2018-05-24 00:11:30, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000845
127.0.0.1, 2018-05-24 00:11:30, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.004255
127.0.0.1, 2018-05-24 00:11:30, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.010983
127.0.0.1, 2018-05-24 00:11:30, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002965
127.0.0.1, 2018-05-24 00:11:30, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.009436
127.0.0.1, 2018-05-24 00:11:30, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000872
127.0.0.1, 2018-05-24 00:11:30, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000678
127.0.0.1, 2018-05-24 00:11:30, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000593
127.0.0.1, 2018-05-24 00:11:30, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000637
127.0.0.1, 2018-05-24 00:11:32, GET, /admin/default/index, HTTP/1.1, 200, 0.381110
127.0.0.1, 2018-05-24 00:11:32, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.024727
127.0.0.1, 2018-05-24 00:11:32, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.024207
127.0.0.1, 2018-05-24 00:11:32, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.030427
127.0.0.1, 2018-05-24 00:11:32, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.029982
127.0.0.1, 2018-05-24 00:11:32, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.037557
127.0.0.1, 2018-05-24 00:11:32, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.046322
127.0.0.1, 2018-05-24 00:11:32, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.037196
